For 1000 concurrent users, 20 times in span of 5 seconds

timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1513274738618,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,5,5,1,0,0
1513274738618,1,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,5,5,1,0,0
1513274738619,1,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,5,5,1,0,0
1513274738619,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,5,5,1,0,0
1513274738619,1,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,5,5,1,0,0
1513274738619,1,HTTP Request,200,,Grupa wątków 1-2,text,true,,322,432,5,5,1,0,0
1513274738619,2,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,5,5,2,0,0
1513274738620,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,1,0,0
1513274738620,3,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,6,6,3,0,0
1513274738621,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,2,0,0
1513274738621,2,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,6,6,2,0,0
1513274738621,3,HTTP Request,200,,Grupa wątków 1-2,text,true,,322,432,6,6,3,0,0
1513274738621,3,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,3,0,0
1513274738623,1,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,6,6,1,0,0
1513274738624,0,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,6,6,0,0,0
1513274738621,3,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,6,6,3,0,0
1513274738624,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,6,6,1,0,0
1513274738623,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,2,0,0
1513274738624,2,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,6,6,2,0,0
1513274738624,2,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,6,6,2,0,0
1513274738626,1,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,7,7,1,0,0
1513274738624,3,HTTP Request,200,,Grupa wątków 1-2,text,true,,322,432,7,7,3,0,0
1513274738624,3,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,7,7,3,0,0
1513274738626,1,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,7,7,1,0,0
1513274738625,3,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,7,7,3,0,0
1513274738625,3,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,7,7,3,0,0
1513274738627,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,7,7,1,0,0
1513274738627,1,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,7,7,1,0,0
1513274738627,2,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,7,7,2,0,0
1513274738627,2,HTTP Request,200,,Grupa wątków 1-2,text,true,,322,432,7,7,2,0,0
1513274738626,3,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,3,0,0
1513274738628,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,7,7,1,0,0
1513274738628,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,6,6,1,0,0
1513274738628,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,2,0,0
1513274738629,1,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,6,6,1,0,0
1513274738629,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,1,0,0
1513274738628,2,HTTP Request,200,,Grupa wątków 1-3,text,true,,322,432,6,6,2,0,0
1513274738629,1,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,6,6,1,0,0
1513274738630,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,5,5,1,0,0
1513274738630,1,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,5,5,1,0,0
1513274738630,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,1,0,0
1513274738631,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,6,6,1,0,0
1513274738630,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,6,6,2,0,0
1513274738630,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,2,0,0
1513274738631,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,1,0,0
1513274738631,2,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,6,6,2,0,0
1513274738632,1,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,1,0,0
1513274738632,1,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,6,6,1,0,0
1513274738632,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,1,0,0
1513274738632,3,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,6,6,3,0,0
1513274738633,2,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,2,0,0
1513274738631,4,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,6,6,4,0,0
1513274738633,2,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,6,6,2,0,0
1513274738633,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,6,6,2,0,0
1513274738633,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,6,6,2,0,0
1513274738635,0,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,6,6,0,0,0
1513274738635,0,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,6,6,0,0,0
1513274738635,2,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,7,7,2,0,0
1513274738635,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,2,0,0
1513274738636,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,7,7,1,0,0
1513274738635,2,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,7,7,2,0,0
1513274738636,2,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,7,7,2,0,0
1513274738636,2,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,7,7,2,0,0
1513274738635,3,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,7,7,3,0,0
1513274738637,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,7,7,1,0,0
1513274738637,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,2,0,0
1513274738637,2,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,7,7,2,0,0
1513274738638,1,HTTP Request,200,,Grupa wątków 1-5,text,true,,322,432,7,7,1,0,0
1513274738638,1,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,7,7,1,0,0
1513274738638,2,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,7,7,2,0,0
1513274738639,1,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,7,7,1,0,0
1513274738639,1,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,7,7,1,0,0
1513274738638,2,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,7,7,2,0,0
1513274738637,5,HTTP Request,200,,Grupa wątków 1-7,text,true,,322,432,8,8,5,0,0
1513274738640,2,HTTP Request,200,,Grupa wątków 1-8,text,true,,322,432,8,8,2,0,0
1513274738640,2,HTTP Request,200,,Grupa wątków 1-10,text,true,,322,432,8,8,2,0,0
1513274738640,3,HTTP Request,200,,Grupa wątków 1-9,text,true,,322,432,8,8,3,0,0
1513274738640,3,HTTP Request,200,,Grupa wątków 1-4,text,true,,322,432,8,8,3,0,0
1513274738639,4,HTTP Request,200,,Grupa wątków 1-6,text,true,,322,432,8,8,4,0,0
